status_id,label,sub_label,fulltext
'935610534489219072,0,,"Our #1 best seller, Japanese Cherry Blossom, sells 30.2 million products each year!"
'935613720650309632,0,,"I  got my start in 1963, when I  used a $5,000 loan from my aunt to open The Limited."
'967109017502851072,6,,Can?? blame a guy for trying #respect @StephenCurry30 https://t.co/gAlWIDVwQJ
'1011457609180667909,6,,Love @TeamLou23 He really earned the sixth man of the year. All @LAClippers fans show him some appreciation!!!  Thanks Lou
'928115711943348224,6,,Want to know what commitment and determination look like? Great @SInow piece on @blakegriffin32 https://t.co/GV7NNHhffT #ItTakesEverything
'985973006701879296,8,,"Join me tomorrow for our LIVE @USAFacts webcast - a new Shareholder Meeting for you, America?? taxpayers. Find out about our government: what we pay, what we spend, what we get for it. Ask me about what we learned. Sign up at https://t.co/17uwUp7Spx and tune in 10am PT / 1pm ET. https://t.co/Gl0w2wYCqa"
'654887753893543936,4,,"Good job @twitter,@twittermoments innovation, @jack Ceo, leaner, more focused. Glad I bought 4% past few months. Like @alwaleedbinT move too"
'887888202807115776,6,,", thanks for five incredible years of top flight basketball and being a man of warmth and  great    C U around Seattle https://t.co/3Jo37wSMxy"
'709589315995631617,6,,@kanyewest Let's meet for sure. We'll reach out and make it happen. Looking forward to it.
'876964306893639685,6,,Great day for the Clips! https://t.co/G1L4plj8LV
'893108748062994433,7,8,Good conversation with @WashingtonPost about what's up - and what's next - for @USAFacts. https://t.co/5KCYp4p6w1
'750008942500016128,6,,@vincestaples Love the energy and passion. Go clips
'1095050209602633728,6,,It was fun doing this show. Great stuff. Congrats @richkleiman @KDTrey5 and thanks @RealJayWilliams https://t.co/CYnk3zeZRo
'912674568384290816,0,,Congrats @satyanadella  on your book #HitRefresh. It is not only a great read but i love your efforts @Microsoft   Thanks and go #msft
'887363344155496448,6,,Welcome to @LAClippers: @Sin_City_803 @j3vans1_ @patbev21 @MONSTATREZZ @dekker @TeamLou23. Now we have some work to do. #WelcomeToLAC https://t.co/2mEUDnrOaG
'1009979113585573888,6,,Our guys!!!  Couldn?? be happier. Love Shai and Jerome ??LAClippers??#NBADraft https://t.co/RXlrWGpy95
'709161328284409858,6,,  Better than lunch.  grab a Clips game together and talk
'704566009647210497,6,, @ArashMarkazi come on dude. Chuck will help fire up our fans. He is cool!
'991384192096358400,1,,Thanks to the @cheddar team today at #MIGlobal. https://t.co/FyurNI79E0 https://t.co/Tzd2Boldng
'1045382739229376513,8,,"Our new poll finds that more Americans are forming policy opinions based on researched data than based on their personal values. 

Go on -- give it a shot at @USAFacts Voter Center!!! https://t.co/d2XRnCwppN #BeAVoter"
'1062594398012276737,6,,Thanks @RealBillRussell
'887722685815541762,6,,.@blakegriffin32 -- glad to have you back. Great things to come. #WelcomeBackBlake https://t.co/DBXSodaaSJ
'1055199240165584896,0,,I am so proud of@microsoft. @satyanadella and his team are really innovating and reaping the success congrats https://t.co/pcXXwz6QHe
'986285796440363009,8,,We're about to go live with our @USAFacts webcast. https://t.co/17uwUp7Spx Join me!!! https://t.co/z4Cs6Qn9vO
'970518371417538560,6,,Tight one tonight @LAClippers but we are so mentally tough. Great job fellows
'908657910175162374,1,0,Great day at U.S.-China tech institute GIX. Thanks to @Microsoft and all involved! https://t.co/Wx16XmzSU3 https://t.co/uoSHpYQHVl
'651219564773044224,6,,NBA preseason is here.  I have to say I am so so so excited about that @LAClippers are set to roll
'804069246586060800,1,,Inspiring day @whitehouse tech and poverty summit at Stanford. Great meeting Marian Wright Edelman #povertytech
'1008218341293473793,2,, @SaraKubik @BradSmi The government data is old I agree. Push our government to do better
'1098785216607469568,2,, @inafried Maybe the big issue is that so few hate crimes are reported?
'1083165805661941762,6,,Kinda wild but All calm @LAClippers except our team. Go clips!!!!!!! https://t.co/DacXt9Ura8
'1100831364042162176,7,,Lots of laughs last night on @JimmyKimmelLive. Thanks for having me on the show! https://t.co/2q1OmtR3cx https://t.co/ua7EqW6Jly
'979417168134602752,0,, @tmyerson @Microsoft @satyanadella @BillGates @tmyerson has done so much for @Microsoft and I think so much of him. Good luck
'855486326891724800,8,, @PaulGAllenyou were great to call out @USAFacts  We hope the numbers make a difference in narrowing the partisan gaps
'1006713926568964096,6,7,Thanks to all for the support especially @MayorButts https://t.co/mCTVFsFENo
'894194455791759361,2,,"Kudos to Indiana on new legislation that reinforces a culture of data -- driving decisions with facts!
https://t.co/8oxgFjIMY3"
'1006710320285413376,6,,Thanks to you Senator! https://t.co/rVN9JoGwZj
'780551711756804097,2,,Love to see fact checking in political discussion good for d's and r's https://t.co/3yrLaOUm3O #profact
'1059130491100639233,8,, @blakedswen @USAFacts nice job blake  thanks dude
'921093211250184194,6,,Pumped up. @LAClippers will bring it tonight against @Lakers Love our team--- @blakegriffin32 @DeAndre will lead us Let's go #ClipperNation
'916006924113428480,4,,Great work being done to help disadvantaged kids advance:  .I love these @StriveTogether communities. https://t.co/g8d58RAnaY
'885580076900909057,7,,#tbt to this convo with @DougBurgum back when he was building a great software business ??now he?? a governor ??see him at #WeTheStates https://t.co/jv7CS8NiUg
'651221090912440321,10,,I think @twitter is remarkable. There is amazing chance to innovate and grow. Excited to see progress with @jack as CEO  Impressive dude!
'885831437710131201,8,,Good to speak with the folks @SquawkCNBC about @USAFacts -- and what we're learning from our new poll. https://t.co/Gd2Jpz5pBY https://t.co/DPgBp0Mklx
'1078777647239319554,4,,Excited to work with @TerriLudwig   So many great efforts focused on #opportunityforall to support https://t.co/nM99JsWWkV
'1062163890576838656,2,,Important step https://t.co/i0wwspNW69
'857836941131120640,4,,Excited @EdmondsonC2C joining BallmerGroup. We support @StriveTogether which Jeff started to give all kids a chance. https://t.co/3NuyunfpOS
'912079221014519808,2,6,Let's stop vilifying athletes who stand up for issues they deem important. Let's' encourage citizen participation
