status_id,label,sub_label,fulltext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133944150074777600,6,,@mcrew55 Thanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133942363477422080,2,,Are you thinking Obama should have been charged for making the Iran deal? https://t.co/MVsUySb6FA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133882283960590336,10,,@SallyPercy Woohoo Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133851027185328129,1,,Our worst decisions are made when we?ôre angry. Our best decisions are made when we?ôre grateful.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133837605924007937,1,,Enjoyed getting to know @guypod @snyksec at the Next European Unicorn Awards during #VivaTech2019! Snyk has a huge potential for success because this #startup is staying ahead of the next market transition by focusing on open source &amp; software security! https://t.co/7vmOoeZhl6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133824566386675712,1,,Good insight. Curiosity is a key trait of every leader. I always look for avid learners  about business and themselves. #curiosity#leadership https://t.co/yyenorWS6z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133762008334123008,8,1,"Top Recognition Tips: 
1. Make recognition a catalyst for results. 
2. Make it fun.
3. Make it personal. 
4. Recognition is universal. 
5. Giving recognition is a privilege.
6. Say ""thank you"" every chance you get. #LeadershipDevelopment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133746083589320704,7,,"Thanks @mattkrantz @IBDinvestors for capturing the leadership lessons I live by in your recent piece. From staying calm while still moving swiftly in crises, to transforming weaknesses into strengths, I think these lessons are helpful for all leaders! https://t.co/U3SGC9xzVD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133709817976115200,1,,This is such a cool artifact... spacesuit worm by first man on the moon Neil Armstrong. https://t.co/GQrHqtJhM0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133709326504398848,1,,Congratulations to Lonnie Bunch! https://t.co/qyOOjLC3ef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
